Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belgium,BEL,General government final consumption expenditure (current US$),1807609624,1843417514,2031066182,2309761113,2489925174,2770447162,3054076341,3358271356,3625359963,4029505607,4472129246,5286337390,6787297131,8842477748,10580370443,13854124493,15112129781,18042537198,22854818880,26644376032,28932421713,25178427206,21827591118,20365020828,19410709299,19647698281,27159426585,33559762939,34227207131,33506616196,41406020039,43806096515,49086184065,47730952659,51542733301,61189107827,60505537459,53398737032,54353189598,54683571276,49660954487,50609395973,56732542819,71302483070,81725850509,85638602164,89717726760,101851000000,116972000000,116396000000,113899000000,125290000000,120791000000,127390000000,129059000000,108756000000,110241000000
Benin,BEN,General government final consumption expenditure (current US$),22968893.75,23961099.67,25650804.3,26982792.17,24650169.86,25651987.32,24922825.12,28208832.16,29349906.91,29520627.74,32490222.07,33665454.42,41622427.07,50249182.1,47776384.51,62618723.84,60012428.1,62316911.41,77241452.14,95194843.4,121450439.6,118241723.5,132985882.2,157977887,143263650.2,160707710.6,203866097.3,242898873.2,213712886.6,166519176.5,344355568.5,321437724.5,267058711.8,346975907.1,249826595.5,313460085.2,319036329.4,299710075.6,321998000.5,327919920.6,309982228.3,322629711.8,354381896.3,511355551.6,587561860.6,645536668.5,742603464.9,851717665.4,1097798530,1197196954,1174696180,1280659916,1358595851,1512023318,1487009901,1410771334,1022702553
Burkina Faso,BFA,General government final consumption expenditure (current US$),24540403.95,26806827.53,28651247.81,29105422.37,28649692.63,21361731.31,19946391.71,19470616.57,27895994.82,28277745.27,31836166.09,34424729.91,42038093.05,54536482.94,62086115.93,121185470.4,98947400.8,113488727.6,148267486.1,188743230.6,178005237.6,164340311.4,241868698.8,230073059.3,190420187.3,268619372.5,386741515.8,472535131,523729977.9,526733087.4,653040969.3,680025883.5,486888566.3,497657653,494006027.1,599607283.3,630849228.2,580911814.1,625419149.1,533900017.1,543070126.2,725544429.1,679084667.4,835766946.4,1005188868,1079945877,1260819434,1615111169,1788123497,1810503992,1853492086,2205439213,2327474878,2547131811,2722895553,2502738003,2718701763
Bangladesh,BGD,General government final consumption expenditure (current US$),264683510.3,306058050.3,320794153.9,369253339.5,450302065.4,535034770.4,834008154.4,812754113.5,896353297.7,1122779518,1202978077,,,318518185.3,580918579,615303717.9,411558202,491170058.2,647561970.9,978098764.8,1113864968,889228886.2,821107784.4,758796296.3,822040000,897961538.5,914766666.7,1006709677,1107115358,1195576381,1280759819,1280504174,1411432332,1643015906,1648977619,1756567131,2195378891,2365409794,2562048458,2583839434,2654144305,2616234248,2748598294,3085129534,3368965517,3597300813,3907014571,4266764290,4744921294,5219957549,5850788802,6557250346,6720252984,7673708925,9227797042,10542515077,13046870666
Bulgaria,BGR,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,2717692308,2927857143,2903333333,2566722222,2662166667,2843578947,3431823529,4741461538,3682000000,3635722222,3752272727,2082903226,2104896907,2042028986,1666918819,2188005952,1230196740,1302334859,2147054079,2634959460,2630591532,2821598847,3244041887,4357849022,5212041775,5614934883,6416714551,7761090973,9579640266,8588487240,8338929200,9099727693,8522291721,9471678203,9567288021,8097027885,8298700792
Bahrain,BHR,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,400371451.3,501595744.7,620478723.4,676861702.1,803723670.2,831914893.6,830850797.9,826861702.1,902127659.6,948669946.8,1024202128,1079787234,1133510638,1158244681,1170212766,1219414894,1234840426,1236968085,1284042553,1378191489,1469000000,1549329255,1733719415,1917718883,2030176330,2244684574,2352500000,2629281915,2846010638,3206382979,3324202128,3992154255,4748404255,5055930851,5382978723,5492021277,
"Bahamas, The",BHS,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,109300000,128400000,143800000,167000000,197300000,208900000,238000000,264000000,289100000,300100000,326400000,,415270000,407120000,440580000,427270000,397990000,482680000,476200000,516870000,578480000,592400000,642260000,680380000,730400000,770390000,785000000,826280000,873200000,947620000,976050000,1072000000,1152000000,1150000000,1261000000,1277000000,1353000000,1320000000,1414000000,1476000000
Bosnia and Herzegovina,BIH,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629965207,2033463185,2154910349,2425249571,2686114425,3287090273,4172024416,4072831877,3913966953,4246963537,3952072658,4057971624,4126532357,3493187978,
Belarus,BLR,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5150000000,3700000000,2683333333,3013057851,3062772743,2871383192,3032784615,2871183177,3023809834,2367447001,2480952516,2662805755,3069209796,3810954282,4767902723,6279261962,7099391102,8386506681,10039283420,8235193279,9169349776,8306019260,8911407735,10143205797,10840159320,8424048635,7612924315
Belize,BLZ,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,33400000,36700000,42100000,44850000,41750000,44150000,46700000,49400000,52200000,55200000,53400000,57850000,70083550,83084450,88794350,88563700,90697100,95077100,98749700,98945900,107400000,114150000,133400000,144803700,147663350,161001600,172585350,194061900,210451250,212629650,222795950,229380300,235777850,245849500,257281150,270032450,264215150
Bermuda,BMU,General government final consumption expenditure (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846956000,890330000,889513000,880664000,836700000,,,
